iter	Passed	Remaining
0	0	82
1	1	83
2	2	84
3	3	78
4	4	80
5	5	81
6	6	83
7	7	87
8	9	92
9	9	89
10	10	86
11	11	84
12	12	82
13	12	79
14	13	77
15	14	76
16	15	74
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	33	56
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	43
51	46	42
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	86	4
95	87	3
96	88	2
97	89	1
98	89	0
99	90	0
